"item_type","status","deadline","venue","alignment","interest_axes","recommended_topic","recommendation"
"저널","확정","2026-08-31","한국지방자치학회보","B","지방자치; 거버넌스; 정책집행","지방자치단체와 병무·보훈·예비전력 협력 구조","지방정치·자치제도 자료가 있어야 함"
"저널","확정","2026-08-31","기억과 전망","A","정책피드백; 시민권; 사회운동; 역사적 기억","병역·보훈·민주주의 기억이 정책대상집단을 형성하는 방식","역사·민주주의·사회운동 프레임에 적합"
"저널","확정","2026-08-31","한국과 국제사회","A","민군관계; 국방정책; 국제사회","군인사정책, 민군관계, 국제안보 환경의 결합","국방·외교·행정을 섞는 융합형 대체처"
"저널","상시","상시접수","한국공공관리학보","S","공공서비스동기; 관료적저항; 성과관리","PSM, 성과관리, 공공조직 저항의 결합","P4 최우선"
"저널","상시","상시모집","예산정책연구","A","정책분석; 재정정책; 입법과정","국회회의록 속 예산근거와 정책증거 사용","P1의 예산·재정 버전"
"저널","상시","상시접수","국정관리연구","A","거버넌스; 정책집행; 국정관리","군 인력정책 또는 공공안전정책의 국정관리 구조","조정·제도설계 언어가 강할 때 추천"
"저널","상시","상시접수","한국정책학회보","S","정책피드백; 정책과정; 정책이론","정책피드백 또는 NPF를 활용한 병역·군인사 정책 분석","완성도 높은 정책학 원고의 장기 1순위"
"저널","상시","상시접수","정부학연구","A","관료적저항; 행정이론; 정부조직","관료제, 정부조직, 정책집행 저항 분석","P4와 P3의 행정이론 버전에 적합"
"저널","상시","상시접수","한국행정연구","A","행정개혁; 성과관리; 정책집행","정부혁신·성과관리·정책집행 관점의 군/공공조직 연구","실천적·제도적 처방이 있을 때 추천"
"저널","상시","상시접수","한국조직학회보","S","공공서비스동기; 관료적저항; 조직이론","PSM이 관료적저항을 완화/강화하는 조건","P4의 이론지향 핵심 후보"
"저널","상시","상시접수","한국군사학논집","A","민군관계; 군인사정책; 군조직","초급간부 처우, 군 조직몰입, 군 인사정책","군사학 독자에게 맞춰 기술"
"저널","상시","상시접수","융합사회와 공공정책","A","정책피드백; 공공정책; 사회과학 융합","병역·청년·안보·복지의 융합정책 분석","경계형 원고의 대체처"
"저널","상시","상시접수","Crisisonomy","A","위기관리; 안보정책; 공공안전","사이버 예비전력과 국가위기관리 체계","P5의 위기관리 프레임"
"저널","상시","7~8월 접수","형사정책연구","B","공공안전; 법무정책; 사이버정책","사이버위협, 민간 해커, 형사정책·법무정책 대응","형사정책 쟁점이 전면에 있을 때 추천"
"저널","상시","상시접수","정보화정책","A","디지털정부; 정책분석; 정보화정책","디지털정부, AI 기반 정책분석, 사이버 인력 거버넌스","P1 또는 P5의 정보화정책 버전"
"저널","보류","확인필요","지방정부연구","B","지방정부; 거버넌스; 정책집행","지방정부의 병무·보훈·안전정책 집행","일정 확정 전에는 대기"
"저널","보류","확인필요","한국경찰연구","B","치안정책; 공공안전","사이버치안·공공안전 정책","공고 확인 전에는 보조 후보"
"저널","보류","확인필요","한국인사행정학회보","S","공공서비스동기; 인사행정; 실적제","공공서비스동기와 군/공공조직 인사정책","일정 확인 시 P4 핵심 후보"
"저널","보류","확인필요","한국행정학보","S","행정학 일반; 정책피드백; 관료적저항","정책피드백·PSM·관료적저항 결합 원고","단기보다 장기 대표 원고용"
"저널","보류","확인필요","한국군사학논총","A","민군관계; 군사학; 군인사정책","군인사정책과 민군관계, 군 조직 변화","일정 확인 전까지 예비 후보"
"저널","보조","2026-07-15","인문사회과학연구","C","정책담론; 청년; 사회과학 일반","병역·청년·국가서사의 넓은 사회과학적 분석","비상 대체처"
"저널","제외","2026-06-30","한국사회와 행정연구","S","관료적저항; 행정학; 정책담론","정책담론·관료제 원고","이번 호 마감 지남, 다음 호 최우선 후보"
"저널","제외","2026-05-15","한국정책연구","A","정책피드백; 정책과정","정책피드백 또는 정책과정 일반 원고","이번 호 마감 지남"
"저널","제외","2026-05-20","의정논총","S","정책분석; 입법과정; 증거기반정책","국회회의록과 입법과정의 증거사용","이번 호 마감 지남, 다음 라운드 핵심 후보"
"저널","제외","2026-04-30","한국군사","A","민군관계; 군사학","군사정책, 군인사, 민군관계","후반기 공고 확인 필요"
"학술대회","참석가능","2026-08-12~2026-08-14","한국정책학회 하계학술대회","S","정책피드백; 정책과정; 민군관계","병역 의무 공식서사와 청년 대상집단, 또는 초급간부 정책서사","저널 투고 전 이론 프레이밍 검증"
"학술대회","참석가능","2026-08-21~2026-08-22","한국정부학회·한국거버넌스학회 영·호남 공동학술대회","A","공공서비스동기; 관료적저항; 거버넌스","PSM·관료적저항·공공관리, 또는 초급간부 인사정책 거버넌스","토론 피드백 확보에 적합"
"학술대회","참석가능","2026-08-24~2026-08-25","한국정책분석평가학회 하계학술대회","S","정책분석; 증거기반정책; 연구방법론","국회회의록 기반 정책증거 사용 분석","P1 방법론 검증 최우선"
"학술대회","제외","2026-06-22~2026-06-24","한국행정학회 하계공동학술대회 및 국제학술대회","S","PSM; 관료적저항; 정책피드백; 행정학 일반","PSM, 관료적저항, 정책피드백, 행정학 일반","이미 종료, 다음 연도 또는 동계 후보"
"학술대회","제외","2026-07-09","한국국정관리학회 하계학술대회","A","국정관리; 거버넌스; 군 인사정책 조정","국정관리, 거버넌스, 군 인사정책 조정","당일 행사라 새 준비 어려움"
"학술대회","보류","확인필요","서울행정학회 하계국제학술대회","A","정책담론; 관료적저항; 행정학","현대사회와 행정 투고 원고의 발표 버전","세부 일시 확인 필요"
"학술대회","보류","확인필요","한국지방행정학회 하계학술대회","B","지방행정; 정책집행; 거버넌스","지방정부의 병무·보훈·위기관리 집행","지역자료가 있는 원고에만 추천"
"학술대회","제외","2026-06-23","한국공공관리학회 하계 공동학술대회","S","PSM; 성과관리; 공공관리","PSM·성과관리·공공관리","이미 종료, 다음 학술대회 후보"
